"origen","reservada","correlacion","cantidad"
facebook_comentarios,deporte,vida,699
facebook_comentarios,drogas,gobierno,691
facebook_comentarios,trabajador,vida,689
facebook_comentarios,trabajador,vida,689
facebook_comentarios,futuro,espera,685
facebook_comentarios,libertad,persona,683
facebook_comentarios,libertad,dictadura,681
facebook_comentarios,delito,justicia,680
facebook_comentarios,drogas,vida,679
facebook_comentarios,libertad,expresion,679
facebook_comentarios,pibe,jugar,676
facebook_comentarios,sexo,mujeres,667
facebook_comentarios,libertad,vivir,660
facebook_comentarios,futuro,peñarol,658
facebook_comentarios,futuro,vivir,658
facebook_comentarios,jóvenes,mal,651
facebook_comentarios,jóvenes,futuro,650
facebook_comentarios,futuro,jóvenes,650
facebook_comentarios,robo,dinero,649
facebook_comentarios,pibe,nacional,648
facebook_comentarios,libertad,sociedad,646
facebook_comentarios,libertad,frente,645
facebook_comentarios,deporte,educación,628
facebook_comentarios,drogas,droga,626
facebook_comentarios,futuro,suerte,624
facebook_comentarios,joven,personas,622
facebook_comentarios,joven,padre,613
facebook_comentarios,futuro,historia,611
facebook_comentarios,deporte,brasil,606
facebook_comentarios,joven,frente,606
facebook_comentarios,libertad,nacional,605
facebook_comentarios,menores,matan,603
facebook_comentarios,aborto,mujeres,603
facebook_comentarios,menores,justicia,597
facebook_comentarios,deporte,final,596
facebook_comentarios,aborto,marihuana,593
facebook_comentarios,libertad,dinero,593
facebook_comentarios,menores,sociedad,588
facebook_comentarios,jóvenes,sociedad,588
facebook_comentarios,futuro,ustedes,587
facebook_comentarios,deporte,carlos,586
facebook_comentarios,libertad,historia,585
facebook_comentarios,menores,presos,582
facebook_comentarios,drogas,personas,581
facebook_comentarios,joven,nacional,578
facebook_comentarios,delito,ley,577
facebook_comentarios,menores,derechos,577
facebook_comentarios,futuro,persona,576
facebook_comentarios,alcohol,tabaco,569
facebook_comentarios,deporte,único,567
facebook_comentarios,robo,vida,567
facebook_comentarios,libertad,medios,564
facebook_comentarios,menores,mal,563
facebook_comentarios,libertad,paz,561
facebook_comentarios,deporte,responsable,561
facebook_comentarios,futuro,luis,560
facebook_comentarios,pibe,jugador,560
facebook_comentarios,libertad,presos,556
facebook_comentarios,robo,padre,555
facebook_comentarios,aborto,mujer,549
facebook_comentarios,jóvenes,frente,548
facebook_comentarios,joven,viejo,547
facebook_comentarios,deporte,andrés,546
facebook_comentarios,deporte,problemas,546
facebook_comentarios,futuro,veo,545
facebook_comentarios,futuro,importa,545
facebook_comentarios,sexo,hombres,542
facebook_comentarios,jóvenes,familia,540
facebook_comentarios,futuro,fa,539
facebook_comentarios,deporte,perú,538
facebook_comentarios,deporte,medallas,538
facebook_comentarios,deporte,mal,538
facebook_comentarios,joven,justicia,534
facebook_comentarios,jóvenes,forma,534
facebook_comentarios,robo,mal,533
facebook_comentarios,robo,ladrones,532
facebook_comentarios,deporte,oro,527
facebook_comentarios,menores,pena,525
facebook_comentarios,deporte,peruano,524
facebook_comentarios,menores,asesinos,522
facebook_comentarios,menores,pasa,520
facebook_comentarios,futuro,realidad,520
facebook_comentarios,menores,frente,520
facebook_comentarios,menores,familia,519
facebook_comentarios,alcohol,consumo,519
facebook_comentarios,joven,peñarol,516
facebook_comentarios,deporte,corrupción,516
facebook_comentarios,futuro,acuerdo,515
facebook_comentarios,trabajador,sueldo,512
facebook_comentarios,trabajador,sueldo,512
facebook_comentarios,delito,vida,512
facebook_comentarios,futuro,respeto,511
facebook_comentarios,robo,frente,509
facebook_comentarios,drogas,consumo,504
facebook_comentarios,arte,obra,503
facebook_comentarios,joven,pueblo,500
facebook_comentarios,pibe,suerte,498
facebook_comentarios,juventud,vida,496
facebook_comentarios,joven,pena,496
facebook_comentarios,joven,lacalle,496
facebook_comentarios,joven,futuro,495
facebook_comentarios,menores,leyes,494
facebook_comentarios,joven,viejos,494
facebook_comentarios,joven,pobre,492
facebook_comentarios,joven,mujer,490
facebook_comentarios,pibe,mal,489
facebook_comentarios,deporte,apoyo,489
facebook_comentarios,joven,luis,488
facebook_comentarios,menores,roban,486
facebook_comentarios,sexo,parejas,485
facebook_comentarios,deporte,talento,484
facebook_comentarios,sexo,opuesto,484
facebook_comentarios,deporte,jugadores,484
facebook_comentarios,sexo,amor,484
