"reservada","correlacion","cantidad","origen"
adolescente,peor,67,facebook_comentarios
adolescente,embarazo,65,facebook_comentarios
adolescente,derechos,64,facebook_comentarios
adolescente,violencia,62,facebook_comentarios
adolescente,jóvenes,62,facebook_comentarios
adolescente,pobre,61,facebook_comentarios
adolescente,maqui,3,twitter
adolescente,barrio,3,twitter
adolescente,fiesta,3,twitter
menores,menores,346,twitter
menores,chorros,31,twitter
menores,inau,23,twitter
menores,infractores,19,twitter
menores,sexual,17,twitter
menores,sirpa,16,twitter
menores,delincuentes,15,twitter
menores,explotación,14,twitter
menores,felipeschipani,10,twitter
menores,delitos,9,twitter
menores,alcohol,9,twitter
menores,defensores,9,twitter
menores,centro,9,twitter
menores,sebasanguinetti,9,twitter
menores,delinquen,9,twitter
menores,cumplen,8,twitter
menores,berro,8,twitter
menores,bajar,8,twitter
menores,independiente,8,twitter
menores,meses,7,twitter
menores,penas,7,twitter
menores,jóvenes,7,twitter
menores,denuncias,7,twitter
menores,colonia,7,twitter
menores,precios,6,twitter
menores,plebiscito,6,twitter
menores,fecha,6,twitter
menores,menores,"1,956",post_facebook
menores,nacional,237,post_facebook
menores,tribuna,185,post_facebook
menores,personas,176,post_facebook
menores,olímpica,175,post_facebook
menores,colombes,172,post_facebook
menores,estadio,169,post_facebook
menores,abitab,158,post_facebook
menores,gobierno,153,post_facebook
menores,baja,150,post_facebook
menores,vida,149,post_facebook
menores,público,147,post_facebook
menores,inclusive,146,post_facebook
menores,precios,127,post_facebook
menores,centenario,122,post_facebook
menores,sábado,122,post_facebook
menores,peñarol,122,post_facebook
menores,forma,119,post_facebook
menores,viernes,118,post_facebook
menores,frente,116,post_facebook
menores,entrada,113,post_facebook
menores,ley,111,post_facebook
menores,miércoles,110,post_facebook
menores,sociedad,109,post_facebook
menores,platea,106,post_facebook
menores,servicio,98,post_facebook
menores,familia,97,post_facebook
menores,justicia,96,post_facebook
menores,derecho,94,post_facebook
menores,jueves,91,post_facebook
menores,menores,"13,493",facebook_comentarios
menores,baja,"1,309",facebook_comentarios
menores,delincuentes,"1,155",facebook_comentarios
menores,ley,983,facebook_comentarios
menores,gobierno,960,facebook_comentarios
menores,vida,802,facebook_comentarios
menores,delitos,777,facebook_comentarios
menores,personas,740,facebook_comentarios
menores,infractores,723,facebook_comentarios
menores,matan,603,facebook_comentarios
menores,justicia,597,facebook_comentarios
menores,sociedad,588,facebook_comentarios
menores,presos,582,facebook_comentarios
menores,derechos,577,facebook_comentarios
menores,mal,563,facebook_comentarios
menores,pena,525,facebook_comentarios
menores,asesinos,522,facebook_comentarios
menores,frente,520,facebook_comentarios
menores,pasa,520,facebook_comentarios
menores,familia,519,facebook_comentarios
menores,leyes,494,facebook_comentarios
menores,roban,486,facebook_comentarios
menores,pueblo,454,facebook_comentarios
menores,violencia,451,facebook_comentarios
