pestaña,Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Act_Jur,Cantidad
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,RESTEL_ANT,0
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,RESTEL,843
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,AIADOL_ANT,222
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,AIADOL,230
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,INDINI_ANT,222
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,INDINI,230
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,INFRINICIND,116
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,INFRINISIND,0
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,INFRINI_ANT,159
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,INFRINI,116
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,AICHEQ,0
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,SENDEFADOL_ANT,136
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,SENDEFADOL,138
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,AARCHADOL,249
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,AREMTADOL,19
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,EXREC,9
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,EXCUM,9
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,PROVADOL,1333
Adolescentes Mvd,439,1,-1,-1,-1,1,-1,1,1,3,-1,6,OFILIB,1337
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,INDTR_ANT,2
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,INDTR,9
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,INFRTR_ANT,20
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,INFRTR,22
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,EXPEJECTR_ANT,176
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,EXPEJECTR,140
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,ADOLCSENT,92
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,ADOLSSENT,7
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,RESTEL_ANT,1008
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,RESTEL,1008
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,AIADOL_ANT,313
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,AIADOL,249
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,INDINI_ANT,135
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,INDINI,249
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,INFRINICIND,111
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,INFRINISIND,0
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,INFRINI_ANT,178
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,INFRINI,111
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,AICHEQ,0
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,SENDEFADOL_ANT,114
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,SENDEFADOL,103
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,AARCHADOL,371
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,AREMTADOL,33
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,EXREC,14
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,EXCUM,14
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,PROVADOL,2711
Adolescentes Mvd,441,1,-1,-1,-1,1,-1,1,1,4,-1,6,OFILIB,1897
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AREPEVD,0
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDPREL_0,444
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDEVAL,191
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,ARCHI,1256
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,RESTEL_ANT,1018
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,RESTEL,213
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,EXPTR_ANT,724
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,EXPTR,741
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,NOTIF,2074
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AIVD_ANT,792
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AIVD,651
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AICNA_ANT,339
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AICNA,423
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AIVISITAS_ANT,22
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AIVISITAS,0
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AIOtros_ANT,177
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AIOtros,246
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AI,1320
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,ADUCON,1505
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDNOT,1013
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDTTOT,0
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDTPAR,1
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDPRO,9
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDR,1013
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDS,492
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDPREL,444
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDCOMP,191
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDUNI,378
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDVOL,0
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDLECT,0
Famesp Mvd,433,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDOTR,0
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AREPEVD,0
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDPREL_0,461
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDEVAL,247
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,ARCHI,2090
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,RESTEL_ANT,1142
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,RESTEL,461
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,EXPTR_ANT,678
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,EXPTR,480
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,NOTIF,1193
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AIVD_ANT,894
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AIVD,632
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AICNA_ANT,431
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AICNA,320
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AIVISITAS_ANT,31
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AIVISITAS,1
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AIOtros_ANT,143
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AIOtros,180
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AI,1133
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,ADUCON,1159
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDNOT,978
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDTTOT,0
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDTPAR,0
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDPRO,43
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDR,1021
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDS,138
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDPREL,461
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDCOMP,247
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDUNI,313
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDVOL,0
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDLECT,0
Famesp Mvd,434,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDOTR,0
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AREPEVD,0
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDPREL_0,385
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDEVAL,302
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,ARCHI,2288
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,RESTEL_ANT,3702
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,RESTEL,768
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,EXPTR_ANT,1197
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,EXPTR,670
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,NOTIF,395
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AIVD_ANT,1098
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AIVD,637
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AICNA_ANT,604
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AICNA,500
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AIVISITAS_ANT,46
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AIVISITAS,8
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AIOtros_ANT,218
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AIOtros,264
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AI,1409
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,ADUCON,1379
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDNOT,961
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDTTOT,0
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDTPAR,0
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDPRO,17
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDR,978
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDS,401
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDPREL,385
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDCOMP,302
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDUNI,290
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDVOL,0
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDLECT,0
Famesp Mvd,499,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDOTR,1
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,AREPEVD,0
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,AUDPREL_0,265
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,AUDEVAL,41
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,ARCHI,1187
